"PERIOD_REF";"PERIOD_COMP";"REGION";"INDICATORS";"UNIT_MES";"VALUE";"STATUS";"STATUS_1"
"2019";;"CH";"Ind_01_01";"UM_1";8606.033;"A";
"2010/2019";;"CH";"Ind_01_02";"UM_2";9.350526942;"A";
"2019";;"CH";"Ind_01_03";"UM_3";215.1905815;"A";
"2019";;"CH";"Ind_01_04";"UM_2";19.95342105;"A";
"2019";;"CH";"Ind_01_05";"UM_2";61.38757544;"A";
"2019";;"CH";"Ind_01_06";"UM_2";18.65900352;"A";
"2019";;"CH";"Ind_01_07";"UM_2";84.79152938;"A";
"2019";;"CH";"Ind_01_08";"UM_2";25.2773258;"A";
"2019";;"CH";"Ind_01_09";"UM_4";4.544924481;"A";
"2019";;"CH";"Ind_01_10";"UM_4";1.969031915;"A";
"2019";;"CH";"Ind_01_11";"UM_4";10.0488847;"A";
"2019";;"CH";"Ind_01_12";"UM_4";7.904115084;"A";
"2019";;"CH";"Ind_01_13";"UM_5";3811.306;"A";
"2019";;"CH";"Ind_01_14";"UM_6";2.214154938;"A";
"2019";;"CH";"Ind_02_01";"UM_2";62.67871456;"A";
"2019";;"CH";"Ind_02_02";"UM_2";22.78801935;"A";
"2019";;"CH";"Ind_02_03";"UM_2";8.2751247;"A";
"2019";;"CH";"Ind_02_04";"UM_2";0.509622598;"A";
"2019";;"CH";"Ind_02_05";"UM_2";6.522227097;"A";
"2019";;"CH";"Ind_03_01";"UM_2";34.41205249;"A";
"2019";;"CH";"Ind_03_02";"UM_2";22.54398262;"A";
"2019";;"CH";"Ind_03_03";"UM_2";29.46939047;"A";
"2016";;"CH";"Ind_04_01";"UM_7";41290.76;"A";
"2004/2009";;"CH";"Ind_04_02";"UM_2";7.456916731;"A";
"1979/1985";"2004/2009";"CH";"Ind_04_03";"UM_2";23.41797775;"A";
"2004/2009";;"CH";"Ind_04_04";"UM_2";35.88382188;"A";
"1979/1985";"2004/2009";"CH";"Ind_04_05";"UM_2";-5.429809669;"A";
"2004/2009";;"CH";"Ind_04_06";"UM_2";31.31588246;"A";
"2004/2009";;"CH";"Ind_04_07";"UM_2";25.34337893;"A";
"2019";;"CH";"Ind_05_01";"UM_2";79.93;"A";
"2020";;"CH";"Ind_05_02";"UM_2";3.1;"A";
"2018";;"CH";"Ind_06_01";"UM_8";84517.97327;"A";"P"
"2017/2018";;"CH";"Ind_06_02";"UM_2";3.01340512;"A";"P"
"2018";;"CH";"Ind_06_03";"UM_5";5249.958;"A";
"2018";;"CH";"Ind_06_04";"UM_5";161.497;"A";
"2018";;"CH";"Ind_06_05";"UM_5";1091.626;"A";
"2018";;"CH";"Ind_06_06";"UM_5";3996.835;"A";
"2018";;"CH";"Ind_06_07";"UM_9";687022;"A";
"2018";;"CH";"Ind_06_08";"UM_9";53457;"A";
"2018";;"CH";"Ind_06_09";"UM_9";95687;"A";
"2018";;"CH";"Ind_06_10";"UM_9";537878;"A";
"2019";;"CH";"Ind_07_01";"UM_2";16.54770632;"A";
"2019";;"CH";"Ind_07_02";"UM_10";20.85872857;"A";
"2020";;"CH";"Ind_08_01";"UM_2";1.720369284;"A";
"2019";;"CH";"Ind_08_02";"UM_2";36.4;"A";
"2019";;"CH";"Ind_08_03";"UM_11";46;"A";
"2018";;"CH";"Ind_08_04";"UM_12";6.270413113;"A";
"2019";;"CH";"Ind_09_01";"UM_5";19764.557;"A";
"2019";;"CH";"Ind_09_02";"UM_5";39562.039;"A";
"2019";;"CH";"Ind_10_01";"UM_12";541.1595048;"A";
"2019";;"CH";"Ind_10_02";"UM_2";30.62000048;"A";
"2019";;"CH";"Ind_10_03";"UM_2";52.47925548;"A";
"2019";;"CH";"Ind_11_01";"UM_2";3.176524575;"A";
"2019";;"CH";"Ind_12_01";"UM_13";229;"A";
"2019";;"CH";"Ind_12_02";"UM_12";4.410021708;"A";
"2019";;"CH";"Ind_12_03";"UM_12";143.6867602;"A";
"2019";;"CH";"Ind_12_04";"UM_14";5.242627321;"A";
"2019";;"CH";"Ind_13_01";"UM_2";19.03801104;"A";
"2019";;"CH";"Ind_13_02";"UM_2";45.38360429;"A";
"2019";;"CH";"Ind_13_03";"UM_2";35.57838467;"A";
"2019";;"CH";"Ind_13_04";"UM_2";30.23;"A";
"2019";;"CH";"Ind_14_01";"UM_2";15.1;"A";
"2019";;"CH";"Ind_14_02";"UM_2";11.37867597;"A";
"2019";;"CH";"Ind_14_03";"UM_2";16.83556431;"A";
"2019";;"CH";"Ind_14_04";"UM_2";25.58956709;"A";
"2019";;"CH";"Ind_14_05";"UM_2";2.332933506;"A";
"2019";;"CH";"Ind_14_06";"UM_2";7.803081967;"A";
"2019";;"CH";"Ind_14_07";"UM_2";2.442290343;"A";
"2019";;"CH";"Ind_14_08";"UM_2";1.048886681;"A";
"2019";;"CH";"Ind_14_09";"UM_2";13.19974335;"A";
"2019";;"CH";"Ind_14_10";"UM_2";2.098494537;"A";
"2019";;"CH";"Ind_15_01";"UM_15";50.55867926;"A";
"2019";;"CH";"Ind_15_02";"UM_15";8.866143205;"A";
"2019";;"CH";"Ind_15_03";"UM_15";4.333066067;"A";
"2019";;"ZH";"Ind_01_01";"UM_1";1539.275;"A";
"2010/2019";;"ZH";"Ind_01_02";"UM_2";12.10479015;"A";
"2019";;"ZH";"Ind_01_03";"UM_3";926.8051107;"A";
"2019";;"ZH";"Ind_01_04";"UM_2";19.75572916;"A";
"2019";;"ZH";"Ind_01_05";"UM_2";63.1975443;"A";
"2019";;"ZH";"Ind_01_06";"UM_2";17.04672654;"A";
"2019";;"ZH";"Ind_01_07";"UM_2";99.33871465;"A";
"2019";;"ZH";"Ind_01_08";"UM_2";27.07638336;"A";
"2019";;"ZH";"Ind_01_09";"UM_4";5.195665834;"A";
"2019";;"ZH";"Ind_01_10";"UM_4";2.025982904;"A";
"2019";;"ZH";"Ind_01_11";"UM_4";10.84031562;"A";
"2019";;"ZH";"Ind_01_12";"UM_4";7.388302171;"A";
"2019";;"ZH";"Ind_01_13";"UM_5";691.687;"A";
"2019";;"ZH";"Ind_01_14";"UM_6";2.184132418;"A";
"2019";;"ZH";"Ind_02_01";"UM_2";80.67305967;"A";
"2019";;"ZH";"Ind_02_02";"UM_2";3.328786303;"A";
"2019";;"ZH";"Ind_02_03";"UM_2";5.647301438;"A";
"2019";;"ZH";"Ind_02_04";"UM_2";0.26843408;"A";
"2019";;"ZH";"Ind_02_05";"UM_2";9.501046391;"A";
"2019";;"ZH";"Ind_03_01";"UM_2";24.8660376;"A";
"2019";;"ZH";"Ind_03_02";"UM_2";26.73536051;"A";
"2019";;"ZH";"Ind_03_03";"UM_2";32.67985123;"A";
"2004/2009";;"ZH";"Ind_04_01";"UM_7";1728.85;"A";
"2004/2009";;"ZH";"Ind_04_02";"UM_2";21.86019608;"A";
"1979/1985";"2004/2009";"ZH";"Ind_04_03";"UM_2";18.31131426;"A";
