"PERIOD_REF";"REGION";"INDICATORS";"UNIT_MES";VALUE;"STATUS"
"2019";"CHE";"Ind_01_01";"UM_1";8544.527;"A"
"2018";"CHE";"Ind_01_03";"UM_3";213.6;"A"
"2019";"CHE";"Ind_01_04";"UM_2";20.14888975;"A"
"2019";"CHE";"Ind_01_06";"UM_2";18.5911932;"A"
"2019";"CHE";"Ind_01_13";"UM_2";25.29877548;"A"
"2018";"CHE";"Ind_01_14";"UM_4";10.28155216;"A"
"2018";"CHE";"Ind_01_15";"UM_2";25.69805694;"A"
"2018";"CHE";"Ind_01_16";"UM_18";85.7;"A"
"2018";"CHE";"Ind_01_17";"UM_18";81.9;"A"
"2009";"CHE";"Ind_04_01";"UM_7";41285;"A"
"2009";"CHE";"Ind_04_08";"UM_2";7.457914497;"A"
"2009";"CHE";"Ind_04_09";"UM_2";36.94077752;"A"
"2009";"CHE";"Ind_04_10";"UM_2";30.80295507;"A"
"2019";"CHE";"Ind_04_11";"UM_2";5.1;"A"
"2019";"CHE";"Ind_04_12";"UM_19";11;"A"
"2018";"CHE";"Ind_04_13";"UM_19";5.4;"A"
"2019";"CHE";"Ind_05_03";"UM_2";84.3;"A"
"2019";"CHE";"Ind_05_04";"UM_2";80.2;"A"
"2019";"CHE";"Ind_05_05";"UM_2";88.3;"A"
"2019";"CHE";"Ind_05_06";"UM_2";4.4;"A"
"2019";"CHE";"Ind_05_07";"UM_2";4.7;"A"
"2019";"CHE";"Ind_05_08";"UM_2";4.1;"A"
"2019";"CHE";"Ind_05_09";"UM_2";8;"A"
"2019";"CHE";"Ind_05_10";"UM_2";34.2;"A"
"2019";"CHE";"Ind_06_11";"UM_17";50200;"A"
"2019";"CHE";"Ind_06_12";"UM_2";1.12;"A"
"2019";"CHE";"Ind_16_01";"UM_2";0.4;"A"
"2018";"CHE";"Ind_17_01";"UM_20";3.1;"A"
"2018";"CHE";"Ind_17_02";"UM_2";39.8;"A"
"2018";"CHE";"Ind_17_03";"UM_2";21.5;"A"
"2018";"CHE";"Ind_17_04";"UM_2";24.3;"A"
"2019";"CHE";"Ind_09_03";"UM_22";32.27779395;"A"
"2019";"CHE";"Ind_09_04";"UM_23";4.663063744;"A"
"2018";"CHE";"Ind_10_04";"UM_24";543;"A"
"2018";"CHE";"Ind_10_05";"UM_25";27;"A"
